questionName,inputType,active,section,group,path,label::fr,label::en,label_one::fr,label_one::en,parameters,appearance,conditional,validation,choices,help_popup,inputRange,confirm_popup,containsHtml,customPath,customChoice,defaultValue,includeNotApplicable,comments
wouldLikeToParticipateInOtherSurveysChaireMobilite,Radio,1,end,,end.wouldLikeToParticipateInOtherSurveysChaireMobilite,Seriez-vous intéressés à **participer à d'autres études** menées par l'ARTM et la Chaire Mobilité de Polytechnique Montréal?,Would you be interested in **participating in other studies** conducted by the ARTM and the Chaire Mobilité of Polytechnique Montreal?,,,,,,,yesNo,,,,True,,,,,
wouldLikeToParticipateInOtherSurveysChaireMobiliteContactEmail,String,1,end,,end.wouldLikeToParticipateInOtherSurveysChaireMobiliteContactEmail,Veuillez fournir une **adresse courriel** de contact pour participer à ces études,Please provide the **email address** where you can be reached to participate in other studies by the Chaire Mobilite.,,,,,wantToParticipateInOtherSurveysChaireMobiliteConditional,emailValidation,,,,,True,,,,,
householdCommentsOnSurvey,Text,1,end,,end.commentsOnSurvey,"Vos **commentaires et suggestions** sur le questionnaire
__Facultatif__","Your **comments and suggestions** about the survey
__Optional__",,,,,,optionalValidation,,,,,True,,,,,
optionalIntroText,InfoText,1,end,,end.optionalIntroText,Les **questions suivantes sont facultatives** et sont ajoutées à des fins de recherche. Vous pouvez terminer l’enquête sans y répondre.,The **next questions are optional** and are added for research purposes. You can complete the interview without answering them.,,,,,,,,,,,1,,,,,
endInterestOfTheSurvey,Range,1,end,,end.interestOfTheSurvey,"Dans quelle mesure cette enquête a-t-elle été **intéressante** pour vous?
__Facultatif__","How **interesting** was this survey to you?
__Optional__",,,,,,rangeOptionalOrValidCustomValidation,,,sliderNotAtAllToVeryInteresting,,True,,,,,
endTimeSpentAnswering,Number,1,end,,end.timeSpentAnswering,"Combien de **temps** pensez-vous avoir passé **à répondre** à cette enquête (**en minutes**)?
__Facultatif__","How much **time** do you think you **spent answering** this survey (**in minutes**)?
__Optional__",,,,,,optionalValidation,,,,,True,,,,,
endDurationOfTheSurvey,Range,1,end,,end.durationOfTheSurvey,"Pensez-vous que la **durée de l'enquête était trop courte, correcte ou trop longue**?
__Facultatif__","Do you feel that the **length of the survey was too short, about right, or too long**?
__Optional__",,,,,,rangeOptionalOrValidCustomValidation,,,sliderTooShortToTooLong,,True,,,,,
endDifficultyOfTheSurvey,Range,1,end,,end.difficultyOfTheSurvey,"Dans quelle mesure vous a-t-il été **facile** ou **difficile** de répondre aux questions de cette enquête?
__Facultatif__","How **easy** or **difficult** was it for you to answer the questions in this survey?
__Optional__",,,,,,rangeOptionalOrValidCustomValidation,,,sliderVeryEasyToVeryDifficult,,True,,,,,
endBurdenOfTheSurvey,Range,1,end,,end.burdenOfTheSurvey,"Dans quelle mesure avez-vous trouvé cette enquête **pénible (exigeante)**?
__Facultatif__","How **burdensome (demanding)** did you find this survey to be?
__Optional__",,,,,,rangeOptionalOrValidCustomValidation,,,sliderNotAtAllToVeryBurdensome,,True,,,,,
endConsideredAbandoningSurvey,Radio,1,end,,end.consideredAbandoningSurvey,"Avez-vous pensé, à un moment ou un autre, **abandonner l'enquête**?
__Facultatif__","Have you considered, at any point, **abandoning the survey**?
__Optional__",,,,,,optionalValidation,yesNoDontKnow,,,,True,,,,,
buttonCompleteInterviewWithCompleteSection,NextButton,1,end,,buttonCompleteInterviewWithCompleteSection,Terminer l’entrevue,Complete the interview,,,,,,,,,,,,,,,,
completedText,InfoText,1,completed,,completedText,"**Merci pour votre participation!**

__Vous pouvez modifier vos réponses en cliquant sur les sections dans le menu ci-dessus.__
Nous vous remercions d'avoir pris le temps de remplir ce questionnaire. **Vos réponses ont été enregistrées avec succès.** Si vous avez fourni un courriel et coché la boite indiquant votre intérêt à participer au concours, vous êtes admissible au tirage de prix de participation.

Les données que vous nous avez fournies contribueront aux efforts de planification de l'ARTM et de ses partenaires ainsi qu’à favoriser une meilleure compréhension des enjeux d'accès et de mobilité dans la grande région de Montréal.

Vous vivez dans le territoire de l’ARTM et vous êtes intéressé(e) à contribuer à l’amélioration de la mobilité en donnant votre avis de manière périodique? Cinq cents dollars (**500 $**) sont à gagner parmi les participants chaque mois et **1 000 $** par année. Veuillez **cliquer sur le bouton suivant pour vous inscrire au panel Parlons mobilité** de l’ARTM :","**Thank you for your participation!**

__You can modify your answers by clicking on the sections in the menu above.__
Thank you for taking the time to complete this questionnaire. **Your responses have been successfully recorded**. If you provided an email address and checked the box indicating your interest in participating in the contest, you are eligible for the prize draw.

The data you have provided will support the planning efforts of the ARTM and its partners, and help improve understanding of accessibility and mobility issues in the Greater Montréal area.

Do you live within the ARTM territory and are you interested in helping improve mobility by sharing your opinion on a regular basis? You could win **$500** each month and **$1,000** annually. Please click the button below to sign up for the ARTM’s **Let's talk mobility panel**.",,,,,,,,,,,True,,,,,
buttonARTMPanel,Custom,1,completed,,buttonARTMPanel,Allez au panel « Parlons mobilité »,Go to « Let's talk mobility » panel,,,,,,,,,,,,,,,,
mapARTMImage,InfoText,1,completed,,mapARTMImage," <div style=""text-align:center;""><img src=""https://www.artm.quebec/wp-content/uploads/2018/05/Carte_ARTM.jpg"" alt=""Territoire ARTM"" style=""max-width:1000px;width:100%;height:auto;"" /></div>"," <div style=""text-align:center;""><img src=""https://www.artm.quebec/wp-content/uploads/2018/05/Carte_ARTM.jpg"" alt=""ARTM territory"" style=""max-width:1000px;width:100%;height:auto;"" /></div>",,,,,,,,,,,True,,,,,
