choicesName,value,label::fr,label::en,label_one::fr,label_one::en,spreadChoicesName,conditional,hidden
intercityRailStationChoices,saintLambertStation,Saint-Lambert,Saint-Lambert,,,,,
intercityRailStationChoices,,,,,,otherWithoutSpecify,,
intercityRailStationChoices,,,,,,dontKnow,,
intercityBusStationChoices,gareAutocarsMTL,Gare d'autocars de Montréal (1717 rue Berri),Montreal Central Bus Station (1717 Berri Street),,,,,
intercityBusStationChoices,terminusMegabus,Terminus Megabus (1000 de la Gauchetière),Megabus Terminal (1000 de la Gauchetière),,,,,
intercityBusStationChoices,YUL,Aéroport de Montréal (YUL),Montreal Airport (YUL),,,,,
intercityBusStationChoices,terminusKirkland,Kirkland,Kirkland,,,,,
intercityBusStationChoices,terminusLongueuil,Terminus intermodal de Longueuil,Longueuil Intermodal Terminal,,,,,
intercityBusStationChoices,,,,,,otherWithoutSpecify,,
intercityBusStationChoices,,,,,,dontKnow,,
usualWorkPlaceCommutingModes,carDriver,"**Voiture personnelle** (appartenant à soi, un.e ami.e, la famille, etc.)","**Personal car** (can belong to self, friend, family, etc)",,,,,
usualWorkPlaceCommutingModes,carPassenger,**Passager** (voiture/moto/scooter),**Passenger** (car/motorcycle/moped),,,,,
usualWorkPlaceCommutingModes,transit,**Transport en commun**,Public **transit**,,,,,
usualWorkPlaceCommutingModes,walk,**Marche**,**Walking**,,,,,
usualWorkPlaceCommutingModes,bike,**Vélo**,**Bicycle**,,,,,
usualWorkPlaceCommutingModes,other,**Autre** moyen,**Other** mode,,,,householdWithoutTwoWheelConditional,
usualWorkPlaceCommutingModes,otherMotor,**Autre** moyen (incluant moto),**Other** mode (including motorcycle),,,,householdWithTwoWheelConditional,
carParkingsHome,private,"Entrée privée, garage ou place de stationnement réservée","Private driveway, garage or reserved parking space",,,,,
carParkingsHome,stickers,Possession d’une vignette résidentielle ,Residential parking permit,,,,,
zeroToTwoPlus,0,0,0,,,,,
zeroToTwoPlus,1,1,1,,,,,
zeroToTwoPlus,2,2+,2+,,,,,
